,FR_BE,BE_FR,FR_CH,CH_FR,FR_DE_LU,DE_LU_FR,FR_ES,ES_FR,FR_GB,GB_FR,FR_IT_NORD,IT_NORD_FR,FR_BE_net_export,FR_CH_net_export,FR_DE_LU_net_export,FR_ES_net_export,FR_GB_net_export,FR_IT_NORD_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,750.5,957.275,3200.0,2.5,0.0,5743.25,1900.0,0.0,287.0,2341.0,2829.1,0.1,-206.77499999999998,3197.5,-5743.25,1900.0,-2054.0,2829.0,-77.52500000000009,None,FR,2026-04-23
2026-01-01 01:00:00+00:00,631.625,1539.5,3200.0,0.0,0.0,3744.75,1900.15,6.25,306.0,3104.0,2845.425,21.725,-907.875,3200.0,-3744.75,1893.9,-2798.0,2823.7000000000003,466.97500000000036,None,FR,2026-04-23
2026-01-01 02:00:00+00:00,452.675,1495.175,3200.0,0.0,0.0,1853.0,1900.0,4.775,407.0,2459.0,2829.0,7.8,-1042.5,3200.0,-1853.0,1895.225,-2052.0,2821.2,2968.9249999999997,None,FR,2026-04-23
2026-01-01 03:00:00+00:00,248.14999999999998,1239.125,3200.0,0.0,0.0,1884.25,1900.0,0.2,588.0,2706.0,2829.35,0.35,-990.975,3200.0,-1884.25,1899.8,-2118.0,2829.0,2935.575,None,FR,2026-04-23
2026-01-01 04:00:00+00:00,340.8,2192.725,3200.0,0.0,0.0,1641.25,1900.0,0.30000000000000004,532.0,3214.0,2829.0,0.0,-1851.925,3200.0,-1641.25,1899.7,-2682.0,2829.0,1753.525,None,FR,2026-04-23
2026-01-01 05:00:00+00:00,0.45,1109.475,3200.0,0.0,0.0,5772.75,1900.0,0.0,899.0,3417.0,2829.8,0.8,-1109.0249999999999,3200.0,-5772.75,1900.0,-2518.0,2829.0,-1470.7749999999996,None,FR,2026-04-23
2026-01-01 06:00:00+00:00,0.39999999999999997,882.775,3200.0,0.0,0.0,3875.75,1900.0,0.0,614.0,2793.0,2829.1,0.1,-882.375,3200.0,-3875.75,1900.0,-2179.0,2829.0,991.875,None,FR,2026-04-23
2026-01-01 07:00:00+00:00,835.5999999999999,118.325,3200.0,0.0,0.0,6651.25,1901.1,103.0,563.0,2019.0,2829.125,0.625,717.2749999999999,3200.0,-6651.25,1798.1,-1456.0,2828.5,436.62499999999955,None,FR,2026-04-23
2026-01-01 08:00:00+00:00,830.675,78.9,3200.0,0.0,0.0,6317.25,1900.0,93.775,753.0,829.0,2833.05,1.5499999999999998,751.775,3200.0,-6317.25,1806.225,-76.0,2831.5,2196.25,None,FR,2026-04-23
2026-01-01 09:00:00+00:00,1341.8,289.825,3200.0,0.0,0.0,4303.0,1900.0,0.0,1304.0,225.0,2272.6,0.1,1051.975,3200.0,-4303.0,1900.0,1079.0,2272.5,5200.475,None,FR,2026-04-23
2026-01-01 10:00:00+00:00,998.55,61.475,3200.0,0.0,0.0,5888.25,1900.0,0.0,2083.0,0.0,2764.475,0.975,937.0749999999999,3200.0,-5888.25,1900.0,2083.0,2763.5,4995.325,None,FR,2026-04-23
2026-01-01 11:00:00+00:00,1396.1,311.725,3200.0,0.0,0.0,1592.5,1900.0,0.0,2236.0,0.0,2364.7,0.65,1084.375,3200.0,-1592.5,1900.0,2236.0,2364.0499999999997,9191.925,None,FR,2026-04-23
